OrderID,Product,Category,Price,Quantity,OrderDate,CustomerID,Country,Region,Salesperson
1,Unbranded Concrete Bike,Clothing,319.0,1,2024-11-28,CUS7264,UK,South,Monique David
2,Handmade Pants,Sports,424.15,1,2025-08-16,CUS6889,UK,West,Cody Clark
3,  Keyboard  ,Clothing,321.78,one,2025-10-10,CUS1995,United Kingdom,North,Barry Gonzalez
4,Small Metal Towels,Clothing,194.92,2,09-Nov-24,CUS2768,Canada,West,Sergio Ford
5,For repair Wooden Car,Electronics,397.66,1,2025-01-11,CUS9893,United Kingdom,South,Erin Dickson
6,Steel Bacon,Sports,180.96,1,12-Mar-24,CUS9484,United States,South,Kevin Archer
7,Unbranded Concrete Cheese,Electronics,399.67,8,12/31/2023,CUS2467,Canada,Central,Chelsea Newman
8,Bacon,Sports,18.89,1,2024-08-03,CUS4707,United States,West,Jessica Herrera
9,Licensed Shoes,Books,19.99,3,03/04/2024,CUS8575,United States,Central,Dennis Cabrera
10,Sleek Mouse,Home Goods,188.67,9,2024-08-30,CUS3962,usa,West,Corey Shields
11,Incredible Fresh Bacon,Electronics,341.14,3,12/22/2024,CUS8073,United States,South,Brian Garcia
12,  Shirt  ,Sports,239.52,187,07/01/2025,CUS2388,canada,East,Marvin Mills
13,Fish,Sports,200.93,7,11/23/2023,CUS5297,United States,West,Christopher Garcia
14,Handmade Rubber Chicken,Books,222.06,8,06/18/2024,CUS6052,United States,South,Ronald Wilson
15,Frozen Cheese,Sports,161.86,7,2025-04-24,CUS1784,USA,East,David Gordon
16,Concrete Table,Books,254.71,10,2025-05-29,CUS4354,usa,South,Leah Wilson
17,Fish,Sports,485.33,185,06-Jun-24,CUS2689,United Kingdom,South,Kimberly Adkins
18,Tuna,Books,442.41,2,08/19/2025,CUS7223,canada,West,Patrick Garcia
19,Awesome Table,Clothing,262.68,7,03-Sep-24,CUS5808,United States,North,Linda Wells DDS
20,Gently Used Metal Fish,Home Goods,113.06,7,04-Jun-25,CUS4748,USA,Central,Charles Wright MD
21,Steel Soap,Home Goods,190.34,8,2024-06-26,CUS3660,usa,East,Jonathon Newman
22,Plastic Gloves,Home Goods,35.93,9,08/09/2025,CUS4759,  Canada  ,South,Deborah Ayala
23,Metal Chips,Electronics,368.4,9,2024-12-05,CUS8659,usa,North,Michael Day
24,Handmade Plastic Ball,Clothing,393.81,1,2024-11-25,CUS5481,United States,East,James Payne
25,  Towels  ,Sports,96.38,6,2024-11-13,CUS2615,United Kingdom,Central,Kenneth Henry
26,Cotton Chips,Books,186.1,4,05/22/2025,CUS9780,United States,Central,Logan Caldwell
27,Awesome Soap,Home Goods,221.08,1,23-Aug-25,CUS7946,  United Kingdom  ,Central,David Robles
28,Awesome Tuna,Sports,404.07,10,07/15/2024,CUS4529,USA,West,Anthony Woods
29,Concrete Table,Clothing,66.79,2,2025-06-30,CUS7878,United States,North,Nina Blair
30,Handcrafted Plastic Gloves,Home Goods,N/A,,,CUS5851,usa,North,Tina Ramirez
31,Rustic Plastic Keyboard,Home Goods,94.74,9,12/16/2024,CUS9485,usa,East,Brittany Schneider
32,Wooden Computer,Books,463.18,6,21-May-25,CUS7319,United Kingdom,,Raymond Morgan
33,Fantastic Metal Chips,Electronics,Error,9,03/27/2025,CUS6696,United Kingdom,South,Heather Jones
34,Plastic Keyboard,Electronics,286.12,6,2023-12-11,CUS3958,Canada,West,Edward Bennett
35,Pizza,Books,,5,18-Dec-24,CUS3280,Canada,Central,David Harris
36,Gorgeous Keyboard,Clothing,67.68,105,12-Dec-23,CUS1157,UK,South,Dale Mcconnell
37,Shoes,Clothing,113.66,4,2025-03-18,CUS1477,canada,West,Sean Garcia
