OrderID,Product,Category,Price,Quantity,OrderDate,CustomerID,Country,Region,Salesperson
1,Awesome Plastic Mouse,Electronics,323.46,8,15-Aug-25,CUS1528,USA,North,Anthony Mora
2,Rubber Chicken,Books,N/A,1,11/16/2024,CUS8726,United Kingdom,South,Michael Morris
3,Unbranded Shirt,Clothing,460.93,5,02-Nov-23,CUS6347,canada,North,Emily Garcia
4,Chicken,Sports,240.57,5,2024-02-03,CUS4025,UK,West,Miss Joy Jackson DDS
5,Rustic Rubber Soap,Home Goods,172.82,one,06-Mar-24,CUS9314,Canada,East,Karen Frederick
6,Computer,Electronics,145.39,2,12-Dec-24,CUS1793,Canada,Central,Lori Jensen
7,Pizza,Books,421.29,164,12-Oct-24,CUS8234,Canada,South,John Sanchez
8,Bacon,Home Goods,387.6,10,13-Apr-24,CUS7374,United States,East,David Reyes
9,Wooden Shirt,Home Goods,383.77,5,2025-02-05,CUS1097,usa,Central,Rachel Patterson
9,Wooden Shirt,Home Goods,383.77,5,2025-02-05,CUS1097,usa,Central,Rachel Patterson
10,Bike,Sports,378.34,6,08-Jun-24,CUS7760,USA,Central,Jasmine Alvarez
11,Fish,Clothing,Error,1,19-Jul-25,CUS7561,canada,East,Donna Cochran
12,Salad,Home Goods,127.62,5,2025-03-02,CUS6122,United States,North,Marie Evans
13,Tuna,Clothing,428.09,9,07/24/2024,CUS3459,Canada,South,Robert Sanders
14,Gently Used Towels,Sports,154.2,2,02/02/2025,CUS9050,United States,West,Michael Sweeney
15,Towels,Home Goods,43.14,4,20-Jun-24,CUS2863,United Kingdom,South,Daniel Mathis
16,,Books,193.71,5,26-Sep-25,CUS8431,United Kingdom,South,Patricia Sanchez
17,Unbranded Shirt,Home Goods,367.14,1,04-Nov-24,CUS5797,United Kingdom,West,John Rodriguez
18,Salad,Books,36.79,126,04/21/2025,CUS4666,UK,Central,Samuel Gray
19,Awesome Cotton Ball,Sports,427.74,2,12/06/2023,CUS1413,usa,North,Molly Carter
20,Fantastic Fresh Soap,Books,385.92,4,03-Jul-24,CUS8460,Canada,Central,Ryan Smith
21,Keyboard,Electronics,256.51,10,09/25/2025,CUS8026,UK,East,Daniel Mcgee
22,Metal Chair,Electronics,66.6,5,2025-04-27,CUS6214,  United Kingdom  ,North,Emily Schultz
23,Concrete Chair,Clothing,53.56,9,09/08/2024,CUS5672,UK,West,Matthew Travis
24,Shoes,Home Goods,158.74,5,11/27/2024,CUS8421,canada,North,Joseph Torres
25,Metal Table,Sports,201.97,8,2025-09-29,CUS6741,  UK  ,East,Joseph Everett
26,Car,Home Goods,82.96,115,12/04/2024,CUS8973,canada,West,Jesse Cox
27,Ergonomic Sausages,Clothing,396.5,1,18-Dec-23,CUS8359,United Kingdom,,Karen Ortiz
28,For repair Salad,Books,375.86,8,11/11/2024,CUS5270,usa,South,Andrea Richards
29,Ergonomic Hat,Sports,42.32,9,01/05/2025,CUS2056,usa,North,Cassandra Robles
30,Steel Pizza,Clothing,101.24,1,2023-12-25,CUS4602,USA,North,Jason Lee
31,New Bike,Home Goods,486.5,2,03-Jan-25,CUS8627,  usa  ,East,Mary Wagner
32,For repair Tuna,Clothing,444.54,2,2025-04-05,CUS2535,USA,Central,Anna Peck
33,For repair Gloves,Clothing,112.98,2,2024-06-13,CUS9646,canada,Central,Charles Johnson
34,Small Computer,Home Goods,247.31,-,10-Dec-23,CUS7439,United Kingdom,West,Cassandra Lawrence
35,Unbranded Sausages,Sports,147.43,2,04/10/2024,CUS3021,USA,North,Amy Evans
36,Fantastic Fresh Shirt,Electronics,140.87,4,04/28/2024,CUS6337,United States,West,Shirley Bailey
37,Generic Towels,Sports,96.04,3,2025-09-16,CUS2932,United States,South,Kayla Perkins
38,Plastic Cheese,Sports,358.07,3,07/30/2025,CUS2149,United States,Central,Heather Powell
39,Incredible Cheese,Books,167.85,8,02/01/2024,CUS2637,canada,East,Madeline Terry
40,Chips,Clothing,244.89,8,07-Jun-24,CUS3609,Canada,North,Thomas Jackson
41,Soft Salad,Electronics,Error,1,04/29/2024,CUS6824,USA,South,Carrie Gamble
42,Tuna,Books,56.98,10,2025-05-22,CUS4944,United Kingdom,South,Nancy Gonzalez
43,  Steel Sausages  ,Home Goods,384.85,2,10-Mar-24,CUS6219,canada,West,Isabella Shaw
43,  Steel Sausages  ,Home Goods,384.85,2,10-Mar-24,CUS6219,canada,West,Isabella Shaw
44,Pizza,Home Goods,294.98,3,21-Jan-24,CUS1181,canada,South,Rhonda Barker
45,Concrete Bacon,Electronics,387.11,8,04/13/2024,CUS9351,  USA  ,West,Alexis Williams
46,Granite Chair,Electronics,14.76,4,10/12/2025,CUS1612,United Kingdom,Central,Reginald Jones
47,Gorgeous Rubber Pizza,Sports,113.17,1,05/17/2025,CUS9755,USA,Central,Mariah Thomas MD
48,Sleek Pants,Clothing,419.43,2,2025-01-24,CUS7257,United States,Central,Paul Martinez
49,Granite Soap,Sports,258.21,1,09/21/2024,CUS9279,United States,South,Mark Olsen
50,Concrete Ball,Books,217.7,109,2025-05-19,CUS6709,United Kingdom,Central,Kathy Howard
51,Steel Chips,Home Goods,201.17,5,2024-06-08,CUS8936,canada,Central,Richard Buchanan
51,Steel Chips,Home Goods,201.17,5,2024-06-08,CUS8936,canada,Central,Richard Buchanan
52,Keyboard,Home Goods,425.42,3,08/10/2024,CUS5831,usa,Central,Dawn Hawkins
