OrderID,Product,Category,Price,Quantity,OrderDate,CustomerID,Country,Region,Salesperson
1,Incredible Granite Towels,Books,319.66,9,2025-07-24,CUS8545,  UK  ,South,John Valenzuela
2,Frozen Soap,Sports,130.18,7,03/11/2024,CUS2667,canada,South,Robert Myers
3,Tasty Sausages,,314.36,5,2025-05-23,CUS5384,Canada,South,Michelle Choi
4,Intelligent Chair,Clothing,127.97,10,01/24/2025,CUS7307,usa,Central,Stephen Fernandez
5,Tuna,Home Goods,250.08,7,07/17/2024,CUS2131,United Kingdom,East,Tiffany Snyder
6,New Concrete Shoes,Electronics,329.06,197,2024-08-08,CUS4284,United States,East,Bruce Lowery
7,Metal Keyboard,Books,74.65,9,07/27/2025,CUS7210,  United Kingdom  ,North,Kevin Jones
8,Frozen Cheese,Clothing,480.1,2,10-May-25,CUS6810,usa,South,Heather Petty
8,Frozen Cheese,Clothing,480.1,2,10-May-25,CUS6810,usa,South,Heather Petty
9,  Frozen Shoes  ,Books,329.82,3,02/06/2024,CUS5126,United Kingdom,East,Cesar Oconnor
10,  Fantastic Steel Hat  ,Books,168.41,7,2024-08-06,CUS3523,USA,Central,Victoria Gonzalez
11,Concrete Cheese,Books,44.84,1,29-Dec-24,CUS7180,  United Kingdom  ,East,Mason Davis
12,Granite Keyboard,Books,493.33,9,2024-04-13,CUS4701,UK,East,Katelyn Wilson
12,Granite Keyboard,Books,493.33,9,2024-04-13,CUS4701,UK,East,Katelyn Wilson
13,Rustic Plastic Shirt,Clothing,N/A,10,2025-09-15,CUS2298,  canada  ,East,Steven Burton
14,Handcrafted Chair,Home Goods,240.84,,2024-04-29,CUS8722,,East,Shelby Miller
15,New Steel Car,Home Goods,377.99,7,2024-01-01,CUS8684,United States,North,Rachel Santos
16,Bacon,Sports,217.2,7,27-Feb-25,CUS8895,usa,North,Allen Jones
17,Practical Rubber Chips,Electronics,92.64,8,2025-03-11,CUS4750,United Kingdom,Central,Brandi Hoffman
18,Cheese,Home Goods,$50.05,9,12/15/2023,CUS7465,United States,South,Joanne Smith
19,Plastic Gloves,Clothing,239.77,one,07-Feb-24,CUS1655,United States,South,Trevor Jones
20,Rubber Chips,Sports,327.19,5,19-Feb-24,CUS6788,UK,Central,Michelle Duncan
21,Sausages,Electronics,N/A,9,2025-07-31,CUS5489,canada,North,Tyler Vaughan
22,Ball,Home Goods,498.89,4,01/13/2024,CUS6143,USA,Central,Christine Padilla
23,Handmade Steel Bike,Sports,50.16,2,07-Oct-24,CUS8177,United States,Central,Dalton Schneider
24,Metal Cheese,Electronics,103.28,two,17-Oct-24,CUS8719,  UK  ,Central,Jerry Santiago
25,Plastic Chair,Clothing,330.79,two,2024-09-29,CUS1474,UK,West,Lynn Taylor DVM
26,Refined Gloves,Home Goods,N/A,10,2024-08-24,CUS7905,  United States  ,East,Michael Smith
27,Fresh Gloves,Home Goods,165.56,9,25-Feb-24,CUS3358,USA,East,Gabriel Boone
28,Small Pants,Clothing,386.91,3,11/07/2023,CUS1734,  United States  ,North,Raymond Baker
29,Towels,Sports,102.24,7,2025-09-25,CUS7834,  USA  ,West,Katie Ward
30,Incredible Frozen Computer,Home Goods,176.97,2,04/06/2025,CUS6468,usa,Central,Wendy Allen
31,Granite Hat,Electronics,307.09,6,09/03/2025,CUS1445,United Kingdom,South,Scott Edwards
32,Shirt,Clothing,283.25,one,15-Apr-24,CUS6220,United Kingdom,West,Cindy Garza
33,Gorgeous Fresh Shirt,Electronics,82.21,10,07/16/2025,CUS1701,United States,East,Ms. Jennifer Harris
34,Gently Used Plastic Gloves,Electronics,436.74,8,10/10/2025,CUS2463,Canada,West,James Wiley
35,Tasty Metal Shirt,Electronics,,9,19-Jul-25,CUS7580,canada,North,Ryan Thompson
36,For repair Concrete Gloves,Electronics,189.57,4,11-Nov-24,CUS2888,UK,North,Dr. Jose Santos
37,Bike,Electronics,110.61,,11-Oct-24,CUS6045,United States,East,Rachael Wilkinson
38,Sleek Plastic Fish,,175.89,9,05-Mar-24,CUS6681,UK,North,Timothy Roberts
39,Steel Shirt,Electronics,457.67,9,14-Jun-24,CUS2415,United States,Central,Lisa Roberts
39,Steel Shirt,Electronics,457.67,9,14-Jun-24,CUS2415,United States,Central,Lisa Roberts
40,Sleek Soap,Books,350.81,6,12/14/2023,CUS1297,United Kingdom,West,Joshua Miller
41,Gently Used Hat,Sports,46.98,8,2024-12-05,CUS3754,UK,North,Melissa Wilkinson
42,  Wooden Soap  ,Books,30.37,7,25-Dec-24,CUS3057,  canada  ,South,Erin Cooper
43,Sleek Metal Bacon,Books,37.78,4,06/22/2024,CUS2590,canada,North,Michelle Jones
