order_id,user_id,product_id,quantity,order_date
1,9320,1038,4,2025-03-13 18:58:30.013225
2,864,3013,5,2025-09-14 23:47:00.847913
3,1145,3196,5,2025-01-26 16:44:36.559723
4,2235,5180,4,2025-10-11 22:11:44.233615
5,4704,3318,4,2025-07-10 04:49:20.325890
6,8781,6002,2,2025-09-24 11:54:29.666389
7,1993,5128,1,2025-03-15 22:23:44.141490
8,7368,2544,4,2025-10-21 06:11:32.702637
9,5907,5147,3,2025-09-11 22:37:17.303591
10,9734,533,1,2025-06-13 01:14:00.226641
11,2386,2088,2,2025-01-25 14:52:36.679774
12,4147,7925,2,2025-03-21 03:21:05.141270
13,6250,7731,2,2025-09-24 20:52:20.180856
14,1557,3759,5,2025-04-30 03:25:55.530902
15,7949,4348,3,2025-03-27 09:45:57.179291
16,1892,9870,3,2025-08-22 14:12:31.376112
17,3734,3139,4,2025-05-20 13:30:35.448396
18,3316,3898,2,2025-10-16 09:10:40.692041
19,5225,1442,2,2025-06-27 17:17:32.138470
20,4721,2541,2,2025-02-16 03:14:58.000229
21,9140,8538,1,2025-05-03 13:43:45.578485
22,7573,1752,5,2025-03-06 02:33:14.158968
23,7634,177,1,2025-04-22 20:13:39.038731
24,3321,1057,3,2025-03-09 13:37:29.698786
25,2143,4818,5,2025-04-22 01:11:19.449561
26,4098,5795,2,2025-07-25 12:07:11.141068
27,603,7361,5,2025-05-08 03:02:06.531534
28,423,4989,3,2025-05-04 21:28:57.687460
29,9554,7859,3,2025-09-30 19:34:16.639430
30,8008,4260,5,2025-08-26 15:00:13.842653
31,6539,1415,3,2025-03-27 10:16:05.043141
32,6795,479,4,2025-08-11 21:25:36.767193
33,5763,3898,2,2025-07-01 01:50:40.352765
34,8554,4409,1,2025-05-22 05:29:21.918438
35,794,7625,3,2025-01-16 03:58:06.910494
36,8541,9055,5,2025-07-22 05:45:53.596617
37,853,742,5,2025-08-29 19:24:22.735260
38,44,7122,4,2025-05-01 02:17:04.786099
39,2145,4310,2,2025-05-18 03:32:45.627435
40,9689,8846,1,2025-04-28 19:41:46.832275
41,8099,2488,4,2025-03-31 23:01:53.395236
42,603,7555,3,2025-10-11 02:41:27.112835
43,5590,353,2,2025-08-24 00:14:38.400341
44,8100,5827,1,2025-04-05 20:23:53.269225
