shipment_id,customer_id,shipper_id,service_id,weight_kg,shipment_date,delivery_date,status,shipment_cost
1,335,2,STD,62.24,2024-11-08,2024-12-03,In Transit,150.9
2,405,1,PRI,85.08,2025-01-29,2025-02-26,Delivered,890.97
3,1106,1,STD,157.78,2025-07-15,2025-07-16,Cancelled,394.02
4,1010,2,PRI,20.36,2025-02-25,2025-03-11,Delivered,215.35
5,293,1,EXP,12.28,2025-03-18,2025-04-10,Cancelled,55.77
6,394,1,EXP,113.29,2025-06-09,2025-07-04,Delivered,568.31
7,871,1,STD,139.25,2025-08-12,2025-09-05,Delayed,347.52
8,1149,1,EXP,112.42,2025-06-10,2025-06-16,In Transit,533.34
9,372,3,PRI,89.59,2024-11-29,2024-12-23,Cancelled,931.51
10,1151,3,PRI,50.47,2025-08-28,2025-08-31,Delivered,506.13
11,1473,3,EXP,153.17,2024-12-21,2025-01-14,Cancelled,800.18
12,991,1,EXP,109.69,2025-02-07,2025-03-03,Delivered,559.34
13,545,2,EXP,190.99,2025-10-27,2025-11-21,Cancelled,1034.2
14,1093,1,STD,70.44,2025-06-27,2025-07-26,In Transit,162.7
15,163,3,EXP,37.16,2025-02-14,2025-03-01,Cancelled,171.68
16,195,1,STD,10.2,2025-10-23,2025-11-19,Pending,24.47
17,532,3,EXP,133.33,2024-12-29,2025-01-24,Cancelled,650.33
18,647,3,PRI,152.57,2024-12-13,2025-01-04,Cancelled,1405.54
19,1797,1,STD,144.42,2025-07-14,2025-07-30,Delayed,336.43
20,1579,3,STD,63.55,2025-01-07,2025-01-08,Delayed,158.86
21,865,3,EXP,86.08,2025-04-08,2025-05-05,Delayed,466.25
22,683,3,STD,70.12,2024-12-16,2024-12-28,Cancelled,183.43
23,1829,1,STD,102.03,2025-04-16,2025-05-01,Delayed,278.16
24,1997,2,EXP,99.9,2025-07-06,2025-08-01,In Transit,472.77
25,1729,2,EXP,57.25,2025-02-22,2025-03-06,Cancelled,305.28
26,1299,1,EXP,104.46,2025-01-02,2025-01-14,In Transit,506.29
27,1187,3,EXP,144.32,2025-10-20,2025-10-21,Delayed,743.81
28,1751,3,EXP,146.19,2025-06-25,2025-07-08,Delayed,756.94
29,620,3,STD,120.54,2025-03-25,2025-03-31,Cancelled,292.84
30,1733,1,EXP,149.01,2025-01-16,2025-02-06,Delivered,796.93
31,1988,1,PRI,4.11,2024-12-03,2024-12-10,In Transit,39.44
32,1709,3,STD,193.06,2025-10-22,2025-11-11,Delayed,436.01
33,1433,1,PRI,166.43,2025-05-18,2025-06-15,Delivered,1540.2
34,1482,2,PRI,114.79,2024-11-14,2024-11-29,In Transit,1252.3
35,1425,1,EXP,53.71,2025-01-07,2025-01-11,Pending,275.79
36,803,3,EXP,119.53,2025-04-17,2025-04-30,In Transit,545.97
37,1915,3,STD,143.04,2025-03-23,2025-04-01,Delayed,326.72
38,801,2,EXP,147.47,2025-01-20,2025-01-23,Delayed,805.19
39,472,1,PRI,162.9,2025-01-07,2025-02-05,Pending,1768.45
40,360,1,EXP,67.7,2025-07-10,2025-07-12,Pending,306.35
41,418,2,PRI,28.29,2025-09-17,2025-10-14,Delayed,277.5
42,347,2,EXP,82.2,2025-04-15,2025-04-24,Delivered,395.87
43,1526,2,PRI,79.93,2025-04-19,2025-05-02,Cancelled,809.96
44,746,3,STD,145.42,2024-11-26,2024-12-19,Pending,328.47
45,1973,2,PRI,181.68,2025-08-15,2025-08-20,Delivered,1726.75
46,1362,1,PRI,186.08,2025-05-12,2025-05-22,Delayed,1889.47
47,1162,2,EXP,19.44,2025-10-26,2025-11-06,Delayed,93.61
48,1030,2,PRI,36.31,2025-04-20,2025-05-06,In Transit,366.79
49,629,2,PRI,195.22,2024-12-28,2025-01-13,Delayed,1971.83
50,1834,1,PRI,54.11,2025-01-24,2025-02-08,Cancelled,556.67
51,996,3,EXP,61.09,2025-10-24,2025-11-08,Cancelled,282.26
52,1410,3,EXP,32.77,2025-02-27,2025-03-27,Pending,162.89
53,568,2,EXP,193.88,2025-08-14,2025-08-27,In Transit,972.34
54,802,3,EXP,166.97,2025-05-08,2025-06-05,In Transit,823.07
55,1565,2,EXP,127.39,2024-12-27,2025-01-07,Delivered,610.74
56,1693,3,STD,183.15,2025-05-21,2025-05-25,Pending,465.01
57,241,3,PRI,25.38,2025-08-24,2025-08-28,Cancelled,229.17
58,949,3,EXP,25.24,2025-08-22,2025-09-11,Pending,135.27
59,965,1,STD,37.87,2025-08-20,2025-08-29,In Transit,102.91
60,1513,3,EXP,50.05,2025-07-06,2025-07-15,Delayed,259.14
61,24,1,EXP,127.97,2025-07-17,2025-08-13,Cancelled,584.83
62,518,2,PRI,190.82,2025-09-23,2025-10-03,Cancelled,2019.97
63,277,3,EXP,170.79,2025-05-19,2025-06-01,Delivered,856.82
64,157,3,EXP,168.22,2024-11-20,2024-12-13,Pending,799.42
65,1695,2,EXP,50.95,2025-09-22,2025-09-23,Cancelled,258.85
66,1844,3,STD,147.41,2025-09-11,2025-09-15,Pending,348.33
67,1089,1,PRI,197.53,2025-04-09,2025-04-26,Delayed,2019.74
68,782,2,PRI,118.62,2025-04-13,2025-05-13,Pending,1099.68
69,1145,3,STD,196.73,2024-11-03,2024-11-05,Cancelled,456.49
70,1640,3,PRI,103.59,2025-01-22,2025-02-02,Pending,991.13
71,1519,3,EXP,148.92,2025-01-07,2025-02-04,Delayed,753.17
72,864,3,EXP,32.33,2025-04-26,2025-05-25,In Transit,177.33
73,1519,3,PRI,129.49,2025-07-13,2025-07-18,Delivered,1241.58
74,1229,2,STD,179.13,2025-07-13,2025-08-07,Delayed,411.09
75,1392,1,STD,24.63,2025-10-30,2025-11-17,Cancelled,62.46
76,1028,3,EXP,199.81,2024-12-27,2025-01-05,In Transit,989.35
77,359,2,STD,110.13,2025-07-24,2025-08-18,Delivered,289.37
78,1566,2,STD,194.92,2025-09-15,2025-10-04,Cancelled,467.83
79,1863,1,EXP,90.13,2025-09-06,2025-09-20,In Transit,426.14
80,1374,1,PRI,88.58,2025-05-01,2025-05-30,Delayed,825.44
81,923,1,EXP,62.59,2025-03-02,2025-03-08,Cancelled,319.62
82,106,3,PRI,173.42,2024-11-06,2024-11-27,In Transit,1784.14
83,328,1,STD,49.6,2025-03-24,2025-04-07,In Transit,125.32
84,1322,2,STD,111.94,2025-01-27,2025-02-08,Pending,261.85
85,76,1,EXP,123.47,2024-11-19,2024-12-08,Delivered,634.99
86,1812,2,STD,53.64,2025-05-24,2025-06-21,In Transit,145.7
87,975,2,EXP,109.99,2025-07-01,2025-07-10,Delayed,548.96
